Rótulos de Linha;Soma de Quantity;Soma de Tax 5%;Soma de Total;Soma de Unit price;Soma de cogs;Soma de gross margin percentage;Soma de gross income;Soma de Rating
Male;7;28,4305;597,0405;81,23;568,61;4,761904762;28,4305;9
Health and beauty;7;28,4305;597,0405;81,23;568,61;4,761904762;28,4305;9
1/15/2019;7;28,4305;597,0405;81,23;568,61;4,761904762;28,4305;9
20;7;28,4305;597,0405;81,23;568,61;4,761904762;28,4305;9
315-22-5665;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
C;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
Naypyitaw;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
Normal;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
Female;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
Home and lifestyle;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
2/24/2019;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
11;10;36,78;772,38;73,56;735,6;4,761904762;36,78;8
316-01-3952;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
A;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
Yangon;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
Normal;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
Female;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
Food and beverages;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
3/13/2019;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
14;5;13,5675;284,9175;54,27;271,35;4,761904762;13,5675;4,6
316-55-4634;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
B;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
Mandalay;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
Member;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
Male;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
Food and beverages;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
1/26/2019;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
12;5;20,0125;420,2625;80,05;400,25;4,761904762;20,0125;9,4
316-66-3011;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
A;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
Yangon;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
Member;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
Female;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
Food and beverages;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
1/23/2019;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
12;9;21,4335;450,1035;47,63;428,67;4,761904762;21,4335;5
316-68-6352;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
A;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
Yangon;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
Member;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
Female;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
Food and beverages;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
1/21/2019;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
10;2;3,636;76,356;36,36;72,72;4,761904762;3,636;7,1
318-12-0304;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
A;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
Yangon;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
Normal;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
Male;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
Fashion accessories;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
1/23/2019;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
12;1;1,5305;32,1405;30,61;30,61;4,761904762;1,5305;5,2
318-68-5053;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
B;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
Mandalay;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
Normal;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
Female;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
Health and beauty;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
2/27/2019;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
17;6;23,097;485,037;76,99;461,94;4,761904762;23,097;6,1
318-81-2368;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
C;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
Naypyitaw;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
Normal;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
Female;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
Electronic accessories;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
3/19/2019;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
12;1;2,31;48,51;46,2;46,2;4,761904762;2,31;6,3
319-50-3348;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
B;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
Mandalay;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
Normal;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
Female;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
Home and lifestyle;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
03/11/2019;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
15;2;4,03;84,63;40,3;80,6;4,761904762;4,03;4,4
319-74-2561;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
A;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
Yangon;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
Member;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
Female;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
Electronic accessories;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
2/21/2019;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
16;3;14,196;298,116;94,64;283,92;4,761904762;14,196;5,5
320-32-8842;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
C;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
Naypyitaw;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
Member;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
Female;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
Food and beverages;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
3/17/2019;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
18;1;1,131;23,751;22,62;22,62;4,761904762;1,131;6,4
320-49-6392;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
C;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
Naypyitaw;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
Normal;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
Female;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
Electronic accessories;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
03/04/2019;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
15;1;1,512;31,752;30,24;30,24;4,761904762;1,512;8,4
320-85-2052;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
B;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
Mandalay;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
Normal;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
Female;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
Sports and travel;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
1/14/2019;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
10;1;1,7405;36,5505;34,81;34,81;4,761904762;1,7405;7
321-49-7382;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
B;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
Mandalay;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
Member;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
Male;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
Sports and travel;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
2/15/2019;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
17;1;4,4155;92,7255;88,31;88,31;4,761904762;4,4155;5,2
322-02-2271;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
B;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
Mandalay;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
Normal;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
Female;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
Sports and travel;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
02/03/2019;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
11;3;6,4455;135,3555;42,97;128,91;4,761904762;6,4455;9,3
324-41-6833;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
C;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
Naypyitaw;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
Member;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
Female;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
Electronic accessories;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
03/03/2019;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
19;8;12,08;253,68;30,2;241,6;4,761904762;12,08;5,1
324-92-3863;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
A;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
Yangon;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
Member;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
Male;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
Electronic accessories;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
02/05/2019;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
18;2;2,089;43,869;20,89;41,78;4,761904762;2,089;9,8
325-77-6186;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
A;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
Yangon;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
Member;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
Female;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
Home and lifestyle;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
03/08/2019;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
10;10;45,325;951,825;90,65;906,5;4,761904762;45,325;7,3
325-89-4209;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
A;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
Yangon;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
Member;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
Male;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
Food and beverages;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
02/05/2019;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
19;1;4,395;92,295;87,9;87,9;4,761904762;4,395;6,7
325-90-8763;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
C;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
Naypyitaw;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
Member;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
Female;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
Electronic accessories;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
1/27/2019;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
13;10;23,285;488,985;46,57;465,7;4,761904762;23,285;7,6
326-71-2155;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
C;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
Naypyitaw;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
Normal;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
Female;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
Sports and travel;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
02/03/2019;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
10;4;14,79;310,59;73,95;295,8;4,761904762;14,79;6,1
326-78-5178;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
C;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
Naypyitaw;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
Member;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
Male;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
Food and beverages;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
02/03/2019;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
10;7;31,99;671,79;91,4;639,8;4,761904762;31,99;9,5
327-40-9673;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
B;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
Mandalay;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
Member;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
Male;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
Sports and travel;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
1/13/2019;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
19;6;21,78;457,38;72,6;435,6;4,761904762;21,78;6,9
329-62-1586;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
A;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
Yangon;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
Normal;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
Male;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
Food and beverages;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
1/21/2019;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
18;3;8,2005;172,2105;54,67;164,01;4,761904762;8,2005;8,6
333-23-2632;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
A;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
Yangon;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
Member;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
Male;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
Health and beauty;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
3/28/2019;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
20;7;3,528;74,088;10,08;70,56;4,761904762;3,528;4,2
333-73-7901;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
C;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
Naypyitaw;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
Normal;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
Female;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
Health and beauty;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
3/23/2019;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
13;8;21,968;461,328;54,92;439,36;4,761904762;21,968;7,6
334-64-2006;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
A;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
Yangon;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
Member;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
Female;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
Home and lifestyle;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
3/24/2019;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
14;2;7,032;147,672;70,32;140,64;4,761904762;7,032;9,6
336-78-2147;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
C;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
Naypyitaw;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
Member;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
Male;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
Home and lifestyle;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
3/13/2019;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
19;8;25,564;536,844;63,91;511,28;4,761904762;25,564;4,6
338-65-2210;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
C;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
Naypyitaw;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
Member;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
Female;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
Health and beauty;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
02/05/2019;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
19;10;34,3;720,3;68,6;686;4,761904762;34,3;9,1
339-12-4827;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
B;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
Mandalay;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
Member;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
Female;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
Fashion accessories;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
01/05/2019;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
11;1;3,698;77,658;73,96;73,96;4,761904762;3,698;5
339-18-7061;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
C;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
Naypyitaw;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
Member;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
Female;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
Fashion accessories;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
2/13/2019;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
15;2;9,298;195,258;92,98;185,96;4,761904762;9,298;8
339-38-9982;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
B;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
Mandalay;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
Member;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
Male;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
Fashion accessories;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
1/13/2019;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
14;2;5,986;125,706;59,86;119,72;4,761904762;5,986;6,7
339-96-8318;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
B;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
Mandalay;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
Member;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
Male;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
Fashion accessories;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
03/01/2019;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
19;7;28,4585;597,6285;81,31;569,17;4,761904762;28,4585;6,3
340-21-9136;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
A;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
Yangon;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
Member;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
Female;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
Sports and travel;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
1/25/2019;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
11;4;8,01;168,21;40,05;160,2;4,761904762;8,01;9,7
340-66-0321;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
A;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
Yangon;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
Member;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
Male;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
Electronic accessories;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
3/25/2019;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
13;4;7,272;152,712;36,36;145,44;4,761904762;7,272;7,6
342-65-4817;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
C;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
Naypyitaw;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
Member;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
Male;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
Health and beauty;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
1/28/2019;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
16;3;13,02;273,42;86,8;260,4;4,761904762;13,02;9,9
343-61-3544;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
B;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
Mandalay;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
Member;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
Male;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
Sports and travel;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
1/29/2019;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
11;10;13,335;280,035;26,67;266,7;4,761904762;13,335;8,6
343-75-9322;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
B;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
Mandalay;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
Member;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
Female;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
Sports and travel;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
01/09/2019;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
16;8;4,74;99,54;11,85;94,8;4,761904762;4,74;4,1
343-87-0864;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
C;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
Naypyitaw;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
Member;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
Male;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
Health and beauty;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
01/03/2019;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
10;1;3,794;79,674;75,88;75,88;4,761904762;3,794;7,1
345-08-4992;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
A;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
Yangon;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
Normal;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
Male;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
Home and lifestyle;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
03/08/2019;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
15;6;10,197;214,137;33,99;203,94;4,761904762;10,197;7,7
345-68-9016;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
C;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
Naypyitaw;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
Member;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
Female;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
Sports and travel;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
01/02/2019;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
16;8;12,668;266,028;31,67;253,36;4,761904762;12,668;5,6
346-12-3257;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
B;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
Mandalay;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
Member;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
Male;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
Electronic accessories;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
03/04/2019;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
16;9;8,658;181,818;19,24;173,16;4,761904762;8,658;8
346-84-3103;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
B;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
Mandalay;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
Member;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
Female;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
Electronic accessories;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
03/02/2019;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
19;5;3,305;69,405;13,22;66,1;4,761904762;3,305;4,3
347-34-2234;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
B;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
Mandalay;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
Member;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
Female;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
Sports and travel;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
02/03/2019;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
13;9;24,7815;520,4115;55,07;495,63;4,761904762;24,7815;10
347-56-2442;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
A;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
Yangon;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
Normal;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
Male;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
Home and lifestyle;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
2/22/2019;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
15;1;3,291;69,111;65,82;65,82;4,761904762;3,291;4,1
347-72-6115;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
B;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
Mandalay;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
Member;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
Female;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
Sports and travel;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
1/16/2019;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
18;7;31,759;666,939;90,74;635,18;4,761904762;31,759;6,2
349-97-8902;2;5,789;121,569;57,89;115,78;4,761904762;5,789;8,9
B;2;5,789;121,569;57,89;115,78;4,761904762;5,789;8,9
Mandalay;2;5,789;121,569;57,89;115,78;4,761904762;5,789;8,9
